plant_key,period,period_as_date,market,reference_market,part_of_world,market_code,company_code,factory,warranty_category,service_type,pnc_sku,sell_out_date,failure_date,ttfi,qty_serv,product_line,product_group,product_subgroup,order_nr,warranty_key,product_unit_key
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925052973,2022-07-04,2023-02-16,7,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,409977877000,G,HUY-925052973-150-40001
ZS,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925501312,2022-12-12,2023-03-16,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,400422768000,G,ZS-925501312-212-50068
ZS,202303,2023-03-01,Turkey,Reference Markets Only,Europe,TRB,TRB,Electrolux Plants,First year warranty,Service call,923581070,2023-02-15,2023-03-24,1,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000002457023000,G,ZS-923581070-250-00004
HUC,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933016180,2022-07-27,2023-02-27,7,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000BB3640661001,G,HUC-933016180-207-30134
ZS,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925503170,2022-03-10,2023-03-07,12,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000E83645143001,G,ZS-925503170-148-00237
ZS,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925505056,2022-12-15,2023-02-13,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000E13633265001,G,ZS-925505056-240-00045
HUC,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933033339,2023-02-13,2023-02-14,0,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000101787866001,G,HUC-933033339-248-30034
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925503170,2023-01-27,2023-02-27,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000408260840000,G,ZS-925503170-248-00005
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925503171,2023-01-04,2023-02-20,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000408257541000,G,ZS-925503171-220-00072
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925560023,2022-04-19,2023-02-28,10,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000408261602000,G,ZS-925560023-207-00274
